ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
IGG.L,IG Group,UK,Fintech,17.16,0.18,5661369344,Mid,16.342857,36.4,18.24,14.37,2,4,0.000,59
DOCS.L,Dr. Martens,UK,Consumer Cyclical,0.77,1.32,736976832,Small,38.5,61.5,0.72,0.73,1,3,0.000,53
SCT.L,Softcat,UK,Technology,19.43,0.67,3808825088,Mid,27.323944,62.7,18.12,14.73,2,8,0.000,67
BYIT.L,Bytes Technology,UK,Technology,4.0302,-0.24,937235584,Small,19.19143,51.7,3.84,3.43,2,6,0.000,63
KNOS.L,Kainos Group,UK,Technology,8.7341,2.88,1006996736,Small,24.261387,63.8,8.18,8.70,3,3,0.000,48
TRN.L,Trainline,UK,Technology,2.41,4.06,828601856,Small,12.684211,67.1,2.20,2.23,1,2,0.000,56
DNLM.L,Dunelm,UK,Consumer Cyclical,8.873990000000001,1.19,1788849408,Small,12.156148,69.8,8.03,9.35,3,4,0.000,55
WOSG.L,Watches of Switzerland,UK,Consumer Cyclical,7.135,-0.70,1651125504,Small,16.593023,46.3,7.19,5.37,2,3,0.000,61
CURY.L,Currys,UK,Consumer Cyclical,1.6425,0.21,1697785600,Small,10.95,61.7,1.55,1.41,4,7,0.000,63
DRX.L,Drax Group,UK,Utilities,7.605,-0.52,2559753472,Mid,38.024998,45.1,7.77,8.17,4,4,0.000,41
PNN.L,Pennon Group,UK,Utilities,4.672,1.34,2203932672,Mid,24.589474,43.3,4.87,5.25,6,2,0.000,39
ONT.L,Oxford Nanopore,UK,Healthcare,1.086,0.09,1059122944,Small,,39.8,1.22,1.29,6,3,0.000,36
RPI.L,Raspberry Pi,UK,Technology,6.64567,-1.55,1286320896,Small,83.0709,38.0,8.01,4.87,2,3,0.000,50
PLUS.L,Plus500,UK,Fintech,39.76,-0.60,2740558592,Mid,13.950877,28.4,45.99,40.62,2,7,0.000,56
TATE.L,Tate & Lyle,UK,Consumer Defensive,5.555,0.00,2458446336,Mid,25.25,56.4,5.44,4.17,2,7,0.000,70
VTY.L,Vistry Group,UK,Consumer Cyclical,2.89,1.55,917839104,Small,6.880953,61.0,2.60,4.80,5,2,0.000,39
BBY.L,Balfour Beatty,UK,Industrials,8.705,0.40,4167305472,Mid,17.068628,54.2,8.43,7.63,2,6,0.000,61
QQ.L,QinetiQ,UK,Industrials,5.05245,2.90,2589223424,Mid,25.262234,69.9,4.61,4.67,1,5,0.000,56
BAB.L,Babcock International,UK,Industrials,11.575000000000001,2.93,5692966400,Mid,28.231707,69.2,10.39,12.07,3,2,0.000,43
ALFA.L,Alfa Financial Software,UK,Technology,1.6840000000000002,0.24,500592672,Small,16.839998,63.8,1.57,1.86,3,3,0.000,49
IDOX.L,IDOX,UK,Technology,0.784,0.00,0,Small,,,,,0,1,0.000,52
FDM.L,FDM Group,UK,Technology,1.25025,1.32,136707728,Small,25.005,69.0,1.09,1.24,3,3,0.000,48
MONY.L,Moneysupermarket.com,UK,Technology,2.04,2.87,1048206400,Small,12.75,63.7,1.87,1.79,2,5,0.000,60
CARD.L,Card Factory,UK,Consumer Cyclical,0.73,2.10,248620496,Small,8.111111,68.8,0.68,0.74,3,3,0.000,57
CWK.L,Cranswick,UK,Consumer Defensive,53.97105,-0.79,2887891456,Mid,18.739946,41.3,55.20,52.43,2,4,0.000,54
SMWH.L,WH Smith,UK,Consumer Cyclical,4.45,3.01,669725376,Small,,61.4,4.37,5.79,3,2,0.000,38
PETS.L,Pets at Home,UK,Consumer Cyclical,2.05,2.30,900887424,Small,14.657144,73.3,1.87,1.97,8,3,0.000,45
HWDN.L,Howden Joinery,UK,Consumer Cyclical,7.825,1.56,4289861376,Mid,15.969387,46.3,7.92,8.21,6,0,0.000,41
JDW.L,J D Wetherspoon,UK,Consumer Cyclical,7.557,3.31,796550528,Small,13.257895,62.1,6.79,6.69,2,5,0.000,61
MARS.L,Marston's,UK,Consumer Cyclical,0.523,0.77,331035008,Small,4.3583336,49.9,0.50,0.54,5,1,0.000,46
WINE.L,Naked Wines,UK,Consumer Cyclical,0.726,0.83,48008008,Small,,50.5,0.73,0.73,4,2,0.000,43
CMCX.L,CMC Markets,UK,Fintech,7.33,-0.81,1976931968,Small,27.148148,71.9,5.43,3.67,3,5,0.000,60
RAT.L,Rathbones Group,UK,Financials,17.06,1.43,1750983424,Small,16.09434,52.7,17.59,19.34,4,3,0.000,45
INVP.L,Investec,UK,Financials,6.46,0.47,4061896704,Mid,8.5,62.8,6.26,5.98,0,5,0.000,62
OSB.L,OSB Group,UK,Financials,5.64,0.36,1925669888,Small,7.621621,66.6,5.28,5.60,3,5,0.000,57
ASHM.L,Ashmore Group,UK,Financials,2.062,-0.19,1340609152,Small,12.129412,46.5,2.06,2.03,2,4,0.000,53
BVXP.L,Bioventix,UK,Healthcare,14.98,0.54,78268400,Small,10.7,35.6,16.34,17.64,6,0,0.000,38
PRTC.L,PureTech Health,UK,Healthcare,1.2,-1.64,292101824,Small,,38.7,1.28,1.27,2,4,0.000,48
TSTL.L,Tristel,UK,Healthcare,4.12556,0.13,198015712,Small,25.78475,58.2,3.89,3.90,1,2,0.000,48
MGNS.L,Morgan Sindall,UK,Industrials,45.32,1.75,2114485888,Mid,11.832898,41.1,46.81,46.99,6,2,0.000,44
RNWH.L,Renew Holdings,UK,Industrials,9.200000000000001,-0.11,728304384,Small,15.862069,56.6,8.88,9.07,3,2,0.000,50
RWS.L,RWS Holdings,UK,Industrials,0.92955,2.66,345014880,Small,,69.7,0.86,0.83,0,5,0.000,56
BREE.L,Breedon Group,UK,Materials,3.23,0.75,1121103616,Small,12.92,60.7,2.98,3.21,3,3,0.000,51
VCT.L,Victrex,UK,Materials,7.78948,1.82,678441792,Small,,78.2,6.44,6.43,2,7,0.000,57
CKN.L,Chemring Group,UK,Industrials,47.26,0.21,1451863296,Small,22.187792,58.5,45.82,42.56,2,5,0.000,56
AVON.L,Avon Protection,UK,Industrials,18,1.35,530129664,Small,40,63.5,17.13,17.86,3,2,0.000,44
SNR.L,Senior plc,UK,Industrials,2.91,0.17,1202993792,Small,48.500004,69.8,2.88,2.50,0,6,0.000,55
BBOX.L,Tritax Big Box REIT,UK,Real Estate,1.73892,0.75,4717796864,Mid,12.414286,73.0,1.57,1.55,5,7,0.000,58
PHP.L,Primary Health Properties,UK,Real Estate,0.9665,0.83,2508211712,Mid,13.807143,63.9,0.93,0.97,3,2,0.000,50
SUPR.L,Supermarket Income REIT,UK,Real Estate,0.8615,0.41,1073635072,Small,17.23,48.3,0.85,0.83,2,5,0.000,56
HMSO.L,Hammerson,UK,Real Estate,3.674,-0.76,0,Small,7.9869566,53.0,3.54,3.33,2,6,0.000,61
SHED.L,Urban Logistics REIT,UK,Real Estate,1.56,9900.00,740486784,Small,39,39.5,0.98,1.11,1,8,0.000,49
SFOR.L,S4 Capital,UK,Communication,0.3915,4.40,261683488,Small,,64.9,0.37,0.28,0,8,0.000,63
GENL.L,Genel Energy,UK,Energy,0.50551,-0.88,139302848,Small,,39.6,0.53,0.57,7,0,0.000,33
